REF_DATE,GEO,Labour_force_characteristics,NAICS,Sex,VALUE
2008,Newfoundland and Labrador,Employment,Goods-producing sector,Males,41.6
2008,Newfoundland and Labrador,Employment,Goods-producing sector,Females,8.9
2008,Newfoundland and Labrador,Employment,Construction,Males,16.1
2008,Newfoundland and Labrador,Employment,Construction,Females,1.4
2008,Newfoundland and Labrador,Employment,Manufacturing,Males,9.5
2008,Newfoundland and Labrador,Employment,Manufacturing,Females,4.5
2008,Newfoundland and Labrador,Employment,Services-producing sector,Males,73.0
2008,Newfoundland and Labrador,Employment,Services-producing sector,Females,97.7
2008,Newfoundland and Labrador,Employment,Transportation and warehousing,Males,8.6
2008,Newfoundland and Labrador,Employment,Transportation and warehousing,Females,2.2
2008,Newfoundland and Labrador,Employment,"Finance, insurance, real estate, rental and leasing",Males,3.3
2008,Newfoundland and Labrador,Employment,"Finance, insurance, real estate, rental and leasing",Females,4.1
2008,Newfoundland and Labrador,Employment,"Professional, scientific and technical services",Males,4.7
2008,Newfoundland and Labrador,Employment,"Professional, scientific and technical services",Females,3.4
2008,Newfoundland and Labrador,Employment,Educational services,Males,6.3
2008,Newfoundland and Labrador,Employment,Educational services,Females,9.9
2008,Newfoundland and Labrador,Employment,Health care and social assistance,Males,6.2
2008,Newfoundland and Labrador,Employment,Health care and social assistance,Females,26.8
2008,Newfoundland and Labrador,Employment,"Information, culture and recreation",Males,4.8
2008,Newfoundland and Labrador,Employment,"Information, culture and recreation",Females,3.9
2008,Prince Edward Island,Employment,Goods-producing sector,Males,14.0
2008,Prince Edward Island,Employment,Goods-producing sector,Females,3.3
2008,Prince Edward Island,Employment,Construction,Males,4.8
2008,Prince Edward Island,Employment,Construction,Females,0.5
2008,Prince Edward Island,Employment,Manufacturing,Males,4.2
2008,Prince Edward Island,Employment,Manufacturing,Females,1.6
2008,Prince Edward Island,Employment,Services-producing sector,Males,20.7
2008,Prince Edward Island,Employment,Services-producing sector,Females,31.0
2008,Prince Edward Island,Employment,Transportation and warehousing,Males,2.2
2008,Prince Edward Island,Employment,Transportation and warehousing,Females,0.5
2008,Prince Edward Island,Employment,"Finance, insurance, real estate, rental and leasing",Males,1.2
2008,Prince Edward Island,Employment,"Finance, insurance, real estate, rental and leasing",Females,1.6
2008,Prince Edward Island,Employment,"Professional, scientific and technical services",Males,1.3
2008,Prince Edward Island,Employment,"Professional, scientific and technical services",Females,1.1
2008,Prince Edward Island,Employment,Educational services,Males,1.7
2008,Prince Edward Island,Employment,Educational services,Females,3.0
2008,Prince Edward Island,Employment,Health care and social assistance,Males,1.2
2008,Prince Edward Island,Employment,Health care and social assistance,Females,7.3
2008,Prince Edward Island,Employment,"Information, culture and recreation",Males,1.0
2008,Prince Edward Island,Employment,"Information, culture and recreation",Females,1.2
2008,Nova Scotia,Employment,Goods-producing sector,Males,75.6
2008,Nova Scotia,Employment,Goods-producing sector,Females,16.7
2008,Nova Scotia,Employment,Construction,Males,28.7
2008,Nova Scotia,Employment,Construction,Females,2.4
2008,Nova Scotia,Employment,Manufacturing,Males,28.4
2008,Nova Scotia,Employment,Manufacturing,Females,10.5
2008,Nova Scotia,Employment,Services-producing sector,Males,151.4
2008,Nova Scotia,Employment,Services-producing sector,Females,207.9
2008,Nova Scotia,Employment,Transportation and warehousing,Males,14.0
2008,Nova Scotia,Employment,Transportation and warehousing,Females,4.3
2008,Nova Scotia,Employment,"Finance, insurance, real estate, rental and leasing",Males,8.5
2008,Nova Scotia,Employment,"Finance, insurance, real estate, rental and leasing",Females,12.9
2008,Nova Scotia,Employment,"Professional, scientific and technical services",Males,12.4
2008,Nova Scotia,Employment,"Professional, scientific and technical services",Females,8.2
2008,Nova Scotia,Employment,Educational services,Males,11.2
2008,Nova Scotia,Employment,Educational services,Females,22.1
2008,Nova Scotia,Employment,Health care and social assistance,Males,10.6
2008,Nova Scotia,Employment,Health care and social assistance,Females,52.3
2008,Nova Scotia,Employment,"Information, culture and recreation",Males,10.7
2008,Nova Scotia,Employment,"Information, culture and recreation",Females,8.6
2008,New Brunswick,Employment,Goods-producing sector,Males,63.7
2008,New Brunswick,Employment,Goods-producing sector,Females,16.2
2008,New Brunswick,Employment,Construction,Males,22.8
2008,New Brunswick,Employment,Construction,Females,2.3
2008,New Brunswick,Employment,Manufacturing,Males,23.6
2008,New Brunswick,Employment,Manufacturing,Females,9.6
2008,New Brunswick,Employment,Services-producing sector,Males,119.1
2008,New Brunswick,Employment,Services-producing sector,Females,161.7
2008,New Brunswick,Employment,Transportation and warehousing,Males,14.9
2008,New Brunswick,Employment,Transportation and warehousing,Females,5.4
2008,New Brunswick,Employment,"Finance, insurance, real estate, rental and leasing",Males,6.6
2008,New Brunswick,Employment,"Finance, insurance, real estate, rental and leasing",Females,8.7
2008,New Brunswick,Employment,"Professional, scientific and technical services",Males,9.7
2008,New Brunswick,Employment,"Professional, scientific and technical services",Females,7.7
2008,New Brunswick,Employment,Educational services,Males,9.0
2008,New Brunswick,Employment,Educational services,Females,16.6
2008,New Brunswick,Employment,Health care and social assistance,Males,9.3
2008,New Brunswick,Employment,Health care and social assistance,Females,41.5
2008,New Brunswick,Employment,"Information, culture and recreation",Males,6.0
2008,New Brunswick,Employment,"Information, culture and recreation",Females,5.5
2008,Quebec,Employment,Goods-producing sector,Males,672.4
2008,Quebec,Employment,Goods-producing sector,Females,207.7
2008,Quebec,Employment,Construction,Males,190.2
2008,Quebec,Employment,Construction,Females,25.5
2008,Quebec,Employment,Manufacturing,Males,381.8
2008,Quebec,Employment,Manufacturing,Females,151.6
2008,Quebec,Employment,Services-producing sector,Males,1363.6
2008,Quebec,Employment,Services-producing sector,Females,1639.1
2008,Quebec,Employment,Transportation and warehousing,Males,143.9
2008,Quebec,Employment,Transportation and warehousing,Females,39.9
2008,Quebec,Employment,"Finance, insurance, real estate, rental and leasing",Males,98.1
2008,Quebec,Employment,"Finance, insurance, real estate, rental and leasing",Females,131.1
2008,Quebec,Employment,"Professional, scientific and technical services",Males,148.3
2008,Quebec,Employment,"Professional, scientific and technical services",Females,114.1
2008,Quebec,Employment,Educational services,Males,86.6
2008,Quebec,Employment,Educational services,Females,164.3
2008,Quebec,Employment,Health care and social assistance,Males,95.1
2008,Quebec,Employment,Health care and social assistance,Females,376.6
2008,Quebec,Employment,"Information, culture and recreation",Males,94.6
2008,Quebec,Employment,"Information, culture and recreation",Females,74.6
2008,Ontario,Employment,Goods-producing sector,Males,1146.0
2008,Ontario,Employment,Goods-producing sector,Females,355.9
2008,Ontario,Employment,Construction,Males,384.0
2008,Ontario,Employment,Construction,Females,48.7
2008,Ontario,Employment,Manufacturing,Males,624.5
2008,Ontario,Employment,Manufacturing,Females,258.7
2008,Ontario,Employment,Services-producing sector,Males,2299.0
2008,Ontario,Employment,Services-producing sector,Females,2809.3
2008,Ontario,Employment,Transportation and warehousing,Males,238.2
2008,Ontario,Employment,Transportation and warehousing,Females,82.6
2008,Ontario,Employment,"Finance, insurance, real estate, rental and leasing",Males,213.2
2008,Ontario,Employment,"Finance, insurance, real estate, rental and leasing",Females,255.9
2008,Ontario,Employment,"Professional, scientific and technical services",Males,291.8
2008,Ontario,Employment,"Professional, scientific and technical services",Females,197.0
2008,Ontario,Employment,Educational services,Males,159.6
2008,Ontario,Employment,Educational services,Females,313.4
2008,Ontario,Employment,Health care and social assistance,Males,114.3
2008,Ontario,Employment,Health care and social assistance,Females,568.6
2008,Ontario,Employment,"Information, culture and recreation",Males,156.8
2008,Ontario,Employment,"Information, culture and recreation",Females,154.3
2008,Manitoba,Employment,Goods-producing sector,Males,119.4
2008,Manitoba,Employment,Goods-producing sector,Females,28.5
2008,Manitoba,Employment,Construction,Males,35.7
2008,Manitoba,Employment,Construction,Females,2.5
2008,Manitoba,Employment,Manufacturing,Males,51.0
2008,Manitoba,Employment,Manufacturing,Females,18.0
2008,Manitoba,Employment,Services-producing sector,Males,201.5
2008,Manitoba,Employment,Services-producing sector,Females,252.1
2008,Manitoba,Employment,Transportation and warehousing,Males,28.5
2008,Manitoba,Employment,Transportation and warehousing,Females,6.8
2008,Manitoba,Employment,"Finance, insurance, real estate, rental and leasing",Males,15.1
2008,Manitoba,Employment,"Finance, insurance, real estate, rental and leasing",Females,20.8
2008,Manitoba,Employment,"Professional, scientific and technical services",Males,14.1
2008,Manitoba,Employment,"Professional, scientific and technical services",Females,11.6
2008,Manitoba,Employment,Educational services,Males,14.6
2008,Manitoba,Employment,Educational services,Females,31.5
2008,Manitoba,Employment,Health care and social assistance,Males,15.9
2008,Manitoba,Employment,Health care and social assistance,Females,66.6
2008,Manitoba,Employment,"Information, culture and recreation",Males,12.1
2008,Manitoba,Employment,"Information, culture and recreation",Females,9.9
2008,Saskatchewan,Employment,Goods-producing sector,Males,116.1
2008,Saskatchewan,Employment,Goods-producing sector,Females,22.8
